OTU_id	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45
OTU_2	0.036113025	0.046175052	0.096209511	0.101654032	0.129290145	0.074017919	0.08015162	0.073190903	0.13115093	0.09007581	0.170709855	0.175465196	0.110751206	0.157753274	0.148311509	0.166850448	0.170985527	0.18015162	0.168780152	0.243418332	0.279738112	0.2773949	0.311026878	0.058787043	0.299104066	0.292419021	0.264507236	0.336457615	0.403721571	0.291040662	0.426257753	0.355065472	0.502687802	0.545623708	0.427429359	0.522398346	0.568917988	0.561681599	0.594141971	0.650585803	0.655410062	0.646864232	0.760785665	0.787250172	0.797105445
OTU_3	0.035010338	0.048035837	0.015506547	0.015988973	0.01199173	0.052997932	0.040592695	0.037077877	0.017229497	0.007856651	0.009372846	0.008339076	0.078015162	0.014266023	0.049552033	0.055341144	0.038938663	0.094004135	0.059407305	0.050103377	0.044107512	0.064782908	0.026809097	0.282839421	0.003583735	0.006685045	0.017091661	0.049069607	0.014059269	0.027015851	0.016126809	0.021984838	0.003239145	0.004893177	0.003652653	0.026671261	0.009993108	0.003583735	0.004341833	0.004410751	0.004341833	0.004066161	0.003790489	0.001929704	0.010406616
OTU_4	0.00854583	0.021088904	0.003101309	0.011164714	0.007443143	0.012543074	0.03390765	0.010544452	0.018056513	0.092487939	0.006340455	0.010406616	0.017849759	0.006891799	0.00923501	0.012543074	0.018676775	0.011853894	0.034734666	0.005720193	0.017987595	0.013576844	0.013301172	0.025292901	0.003721571	0.005582357	0.012611992	0.008339076	0.005926947	0.019986216	0.009786354	0.001791868	0.001516196	0.001240524	0.009855272	0.024259132	0.002481048	0.001102688	0.000827016	0.002136458	0.004755341	0.015368711	0.00275672	0.001516196	0.022880772
OTU_5	0.014679531	0.019572708	0.027153687	0.007029635	0.009510682	0.016747071	0.025775327	0.021088904	0.00992419	0.008407994	0.006547209	0.008201241	0.015437629	0.008270159	0.071536871	0.016540317	0.099724328	0.009993108	0.035492764	0.018952447	0.012749828	0.017849759	0.017505169	0.017229497	0.085802895	0.122053756	0.099931082	0.032667126	0.009028256	0.051343901	0.023156444	0.024879394	0.007443143	0.007512061	0.171330117	0.012060648	0.01026878	0.008476912	0.01164714	0.045003446	0.055754652	0.117643005	0.056650586	0.041212957	0.015299793
OTU_7	0.009510682	0.009303928	0.011578222	0.008270159	0.007580979	0.007994487	0.009717436	0.008683666	0.008132323	0.006271537	0.007512061	0.009441764	0.009441764	0.008614748	0.007305307	0.006891799	0.008614748	0.007098553	0.007925569	0.008339076	0.009303928	0.007512061	0.011095796	0.004135079	0.005375603	0.006064783	0.004066161	0.007512061	0.005582357	0.004479669	0.004341833	0.003445899	0.005858029	0.004066161	0.003514817	0.004066161	0.004066161	0.005858029	0.003583735	0.00241213	0.002687802	0.00241213	0.001860786	0.001585114	0.001860786
OTU_8	0.003376981	0.003514817	0.003308063	0.005375603	0.003790489	0.003721571	0.003308063	0.003859407	0.00241213	0.001240524	0.001860786	0.002687802	0.002481048	0.003790489	0.002963473	0.00275672	0.002343212	0.002136458	0.001585114	0.001791868	0.002481048	0.00206754	0.002481048	0.001654032	0.001102688	0.002618884	0.000482426	0.00206754	0.001516196	0.001860786	0.001102688	0.000620262	0.001171606	0.001171606	0.000551344	0.001654032	0.00103377	0.001102688	0.000895934	0.000620262	0.000275672	0.00034459	0.00068918	0.000206754	0.000482426
OTU_9	0.000964852	0.00206754	0.001447278	0.008683666	0.01095796	0.001860786	0.003514817	0.002136458	0.01337009	0.015368711	0.015506547	0.012749828	0.001309442	0.013163336	0.002618884	0.001998622	0.003376981	0.013783598	0.000620262	0.002274294	0.000206754	0.00103377	0.00206754	0.001171606	0.009372846	0.008339076	0.007029635	0.000827016	0.013990351	0.008201241	0.011440386	0.013852516	0.009441764	0.008476912	0.005926947	0.000895934	0.005513439	0.007512061	0.005789111	0.006409373	0.003652653	0.003032391	0.002825637	0.002274294	0.003445899
OTU_10	0.003239145	0.002687802	0.002963473	0.006616127	0.004617505	0.003445899	0.003101309	0.002894555	0.002825637	0.001791868	0.003652653	0.002618884	0.002205376	0.004479669	0.003652653	0.002481048	0.002825637	0.00241213	0.001309442	0.001654032	0.00206754	0.00241213	0.001654032	0.001240524	0.001791868	0.00275672	0.000895934	0.000964852	0.001654032	0.001516196	0.001791868	0.001929704	0.002343212	0.001240524	0.000758098	0.000827016	0.001171606	0.001791868	0.001240524	0.00068918	0.000482426	0.00034459	0.000275672	0.000206754	0.00034459
OTU_11	0.011440386	0.018607857	0.012060648	0.008476912	0.00923501	0.019986216	0.021640248	0.020675396	0.016747071	0.008270159	0.011784976	0.013094418	0.017918677	0.016402481	0.012611992	0.029703653	0.013852516	0.014817367	0.025637491	0.032253618	0.01233632	0.018745693	0.023776706	0.018470021	0.011371468	0.008752584	0.026809097	0.027153687	0.021640248	0.010406616	0.013507926	0.012543074	0.01130255	0.010682288	0.010544452	0.031564438	0.009166092	0.008270159	0.009097174	0.007994487	0.013921433	0.01026878	0.007512061	0.006685045	0.007580979
OTU_12	0.005926947	0.005720193	0.005306685	0.005789111	0.004824259	0.004755341	0.005031013	0.004341833	0.003859407	0.002963473	0.00241213	0.003928325	0.004824259	0.003997243	0.003308063	0.004066161	0.003032391	0.004410751	0.003790489	0.005651275	0.003652653	0.004962095	0.003170227	0.003997243	0.001240524	0.002687802	0.001516196	0.003997243	0.003032391	0.002963473	0.005031013	0.003514817	0.004893177	0.004893177	0.00068918	0.003721571	0.004410751	0.003652653	0.003032391	0.000895934	0.000620262	0.000827016	0.000895934	0.000413508	0.00103377
OTU_13	0.003652653	0.010475534	0.00889042	0.002894555	0.003790489	0.006685045	0.013301172	0.007098553	0.004962095	0.001309442	0.00275672	0.003790489	0.013852516	0.007994487	0.00854583	0.027222605	0.006547209	0.002343212	0.023845624	0.002205376	0.005375603	0.010475534	0.021295658	0.007580979	0.001240524	0.007649897	0.007787733	0.006271537	0.005513439	0.006753963	0.007649897	0.004272915	0.005513439	0.003239145	0.001309442	0.007167471	0.003721571	0.007098553	0.004893177	0.001860786	0.003928325	0.000620262	0.001240524	0.000895934	0.003376981
OTU_14	0.005858029	0.005789111	0.004410751	0.004479669	0.004755341	0.005789111	0.006340455	0.007994487	0.008270159	0.005926947	0.005720193	0.009372846	0.009028256	0.005168849	0.003445899	0.005858029	0.004066161	0.009510682	0.005926947	0.004341833	0.003308063	0.004962095	0.003170227	0.008270159	0.004755341	0.003583735	0.009441764	0.004341833	0.003032391	0.00275672	0.006685045	0.004617505	0.004548587	0.003997243	0.003239145	0.003376981	0.004479669	0.002481048	0.004755341	0.00241213	0.005168849	0.00206754	0.00137836	0.001240524	0.001309442
OTU_15	0.002825637	0.004341833	0.003170227	0.005237767	0.001998622	0.003032391	0.003101309	0.003376981	0.00172295	0.001447278	0.002343212	0.003721571	0.00034459	0.004066161	0.003239145	0.002274294	0.003652653	0.001654032	0.001585114	0.001516196	0.002687802	0.00275672	0.00241213	0.001240524	0.001654032	0.001998622	0.00068918	0.001585114	0.000758098	0.001447278	0.000620262	0.00034459	0.001240524	0.000620262	0.000551344	0.000964852	0.001171606	0.001516196	6.89E-05	0.000482426	6.89E-05	0	0.000137836	0.000275672	6.89E-05
OTU_16	0.003101309	0.005375603	0.002549966	0.003032391	0.003790489	0.003239145	0.005789111	0.005789111	0.00275672	0.001860786	0.003376981	0.003170227	0.008821502	0.003308063	0.002549966	0.004755341	0.003101309	0.002274294	0.003445899	0.007167471	0.003790489	0.002825637	0.003376981	0.007856651	0.002549966	0.001998622	0.01371468	0.003170227	0.003445899	0.000895934	0.002549966	0.00137836	0.00172295	0.001998622	0.001860786	0.007098553	0.001447278	0.000827016	0.001171606	0.001654032	0.005513439	0.001102688	0.000964852	0.00068918	0.000895934
OTU_17	0.005720193	0.004686423	0.006202619	0.006478291	0.005995865	0.005651275	0.005031013	0.004548587	0.004410751	0.002687802	0.003445899	0.004410751	0.004341833	0.005099931	0.006340455	0.003583735	0.004755341	0.004548587	0.002894555	0.002894555	0.003928325	0.003721571	0.003859407	0.003032391	0.002894555	0.003652653	0.002136458	0.002825637	0.002274294	0.003652653	0.002687802	0.00241213	0.003445899	0.002687802	0.001791868	0.00206754	0.002481048	0.003239145	0.002205376	0.00103377	0.00103377	0.000827016	0.00068918	0.001102688	0.000895934
OTU_18	0.002274294	0.00206754	0.002894555	0.002343212	0.002894555	0.001791868	0.002687802	0.002343212	0.003376981	0.003445899	0.00275672	0.003928325	0.002549966	0.003790489	0.00172295	0.00172295	0.001791868	0.003239145	0.002825637	0.002825637	0.002894555	0.00241213	0.002343212	0.002481048	0.001654032	0.001447278	0.001516196	0.001998622	0.003652653	0.00137836	0.002549966	0.002618884	0.003376981	0.003376981	0.001102688	0.001791868	0.002894555	0.003514817	0.00172295	0.000758098	0.000620262	0.000758098	0.000827016	0.000413508	0.000482426
OTU_19	0.007856651	0.020261888	0.016678153	0.002343212	0.001929704	0.01164714	0.011095796	0.015299793	0.003032391	0.002687802	0.004203997	0.002274294	0.005720193	0.004341833	0.00923501	0.013645762	0.015506547	0.00172295	0.019710544	0.026395589	0.012267402	0.015575465	0.019434873	0.003859407	0.006271537	0.002274294	0.002618884	0.023707788	0.005651275	0.001791868	0.001929704	0.000895934	0.00103377	0.001309442	0.004272915	0.009097174	0.001585114	0.001860786	0.000895934	0.002618884	0.000758098	0.00137836	0.000758098	0.00137836	0.001309442
OTU_20	0.007236389	0.005858029	0.008407994	0.005926947	0.006960717	0.005995865	0.004479669	0.006960717	0.005168849	0.008614748	0.006340455	0.005651275	0.005168849	0.004962095	0.003514817	0.005306685	0.00275672	0.004824259	0.002825637	0.004341833	0.003170227	0.002136458	0.00275672	0.002894555	0.003790489	0.003859407	0.002481048	0.001447278	0.003583735	0.002549966	0.005444521	0.005926947	0.007443143	0.005858029	0.001998622	0.001447278	0.003032391	0.004962095	0.003239145	0.001516196	0.001309442	0.000758098	0.00034459	0.00034459	0.000482426
OTU_21	0.001998622	0.00206754	0.002205376	0.004686423	0.003583735	0.001791868	0.001240524	0.001654032	0.002894555	0.001447278	0.002687802	0.004203997	0.00068918	0.00241213	0.002549966	0.001447278	0.002205376	0.002343212	0.001447278	0.000758098	0.001309442	0.001860786	0.00103377	0.001171606	0.00137836	0.002136458	0.000758098	0.000827016	0.000620262	0.00172295	0.000413508	0.000413508	0.00068918	0.000551344	0.000413508	0.000206754	0.000413508	0.001171606	0.00034459	0.000620262	0.000413508	0.000206754	0.000137836	0.000137836	0.000206754
OTU_22	0.006133701	0.010475534	0.006202619	0.015920055	0.010406616	0.012129566	0.009372846	0.031219848	0.008683666	0.008614748	0.011784976	0.01095796	0.006133701	0.061681599	0.01130255	0.018952447	0.019090283	0.002618884	0.00854583	0.005099931	0.011922812	0.013576844	0.006064783	0.005031013	0.009717436	0.005237767	0.003445899	0.027498277	0.004066161	0.006547209	0.002894555	0.00206754	0.004686423	0.001929704	0.003790489	0.004548587	0.00172295	0.002481048	0.00137836	0.003445899	0.001585114	0.00068918	0.00137836	0.00137836	0.000827016
OTU_23	0.007443143	0.008752584	0.008476912	0.009028256	0.0095796	0.012405238	0.004135079	0.04486561	0.005444521	0.005099931	0.010544452	0.008270159	0.006822881	0.014748449	0.008063405	0.015782219	0.009786354	0.001860786	0.008476912	0.006202619	0.013852516	0.010475534	0.005031013	0.003859407	0.007167471	0.003170227	0.003101309	0.016264645	0.001585114	0.003583735	0.002274294	0.001102688	0.003790489	0.001585114	0.002687802	0.004617505	0.001447278	0.001654032	0.00172295	0.00241213	0.00137836	0.00068918	0.000895934	0.000964852	0.00034459
OTU_24	0.00172295	0.000964852	0.00103377	0.00241213	0.003170227	0.00068918	0.001929704	0.00103377	0.001654032	0.000827016	0.001998622	0.001929704	0.000482426	0.003032391	0.004135079	0.000551344	0.003445899	0.000758098	0.000551344	0.000827016	0.001516196	0.000895934	0.001240524	0.000482426	0.000551344	0.001929704	0.000620262	0.000895934	0.000413508	0.00103377	0.00034459	0.000206754	0.000482426	0.000620262	0.000482426	0.000206754	0.000482426	0.000413508	0.000482426	0.000413508	0.00034459	6.89E-05	0.000206754	0.000137836	0.000206754
OTU_25	0.003032391	0.00206754	0.002136458	0.004135079	0.003859407	0.002343212	0.002481048	0.002274294	0.001791868	0.00206754	0.001309442	0.002343212	0.003032391	0.001998622	0.002136458	0.001998622	0.001998622	0.001860786	0.001171606	0.001860786	0.001516196	0.00172295	0.001309442	0.00137836	0.000620262	0.001654032	0.000482426	0.001240524	0.001102688	0.001102688	0.00172295	0.001102688	0.001654032	0.001791868	0.000551344	0.001585114	0.001240524	0.001240524	0.00103377	0.00034459	0.000206754	0.000482426	0.000275672	0.000206754	0.000137836
OTU_26	0.007305307	0.005651275	0.004686423	0.014955203	0.015230875	0.006478291	0.008063405	0.005513439	0.014541695	0.015920055	0.014266023	0.013232254	0.005995865	0.009648518	0.005444521	0.005168849	0.004824259	0.016609235	0.003376981	0.004066161	0.004341833	0.003928325	0.005995865	0.007305307	0.006478291	0.007925569	0.007856651	0.003445899	0.006891799	0.008476912	0.010199862	0.0095796	0.01061337	0.009441764	0.004962095	0.00206754	0.005926947	0.007443143	0.006960717	0.003445899	0.004203997	0.00206754	0.00241213	0.001929704	0.00172295
OTU_27	0.002618884	0.002825637	0.003239145	0.003583735	0.002274294	0.003170227	0.002274294	0.002274294	0.001447278	0.00068918	0.00241213	0.00172295	0.002481048	0.003308063	0.002687802	0.002343212	0.001929704	0.000758098	0.001309442	0.001654032	0.001516196	0.00206754	0.002136458	0.00103377	0.001102688	0.00137836	0.000758098	0.001447278	0.000964852	0.00103377	0.000620262	0.000275672	0.000413508	0.000413508	0.00068918	0.00103377	0.000413508	0.000551344	0.000206754	0.000482426	0.000413508	0.000206754	0.000413508	0.000275672	0.000413508
OTU_28	0.002274294	0.001585114	0.001929704	0.000895934	0.000895934	0.006478291	0.003308063	0.003859407	0.000758098	0.000413508	0.000620262	0.000620262	0.00172295	0.000620262	0.004066161	0.004824259	0.002481048	0.001240524	0.002687802	0.003790489	0.000482426	0.001516196	0.001654032	0.002825637	0.010544452	0.01337009	0.009855272	0.001102688	0.001102688	0.002136458	0.001447278	0.000827016	0.000551344	0.000964852	0.011509304	0.000827016	0.000895934	0.000413508	0.000413508	0.005099931	0.004824259	0.004617505	0.003514817	0.003101309	0.003032391
OTU_29	0.002343212	0.001171606	0.001309442	0.002205376	0.003308063	0.001171606	0.001791868	0.001102688	0.001309442	0.000895934	0.00103377	0.001654032	0.000827016	0.002481048	0.002963473	0.001171606	0.00206754	0.000758098	0.000758098	0.000413508	0.001171606	0.000827016	0.000827016	0.000895934	0.000551344	0.001309442	0.00034459	0.000758098	0.000895934	0.000964852	0.001102688	0.000275672	0.000895934	0.001309442	0.000482426	0.000275672	0.000758098	0.000895934	0.000620262	0.000275672	0.00034459	0.000206754	0.000206754	0.000137836	0.000137836
